기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-05-01,① 핵심,수거신청 수(건),103394.0,103482.0,-0.1,,
2026-05-01,① 핵심,"활성 고객 수(순, 명)",62731.0,63178.0,-0.7,,
2026-05-01,② 구성,구독 고객 비중(%),36.38,40.15,-9.4,40% 이상,이탈
2026-05-01,② 구성,구독 고객당 물량(점),13.59,12.94,5.0,,
2026-05-01,② 구성,월 구독 물량(점),289987.0,328337.0,-11.7,,
2026-05-01,② 구성,자유 고객당 물량(점),7.12,7.27,-2.0,,
2026-05-01,② 구성,자유 물량(점),286071.0,277744.0,3.0,,
2026-05-01,② 구성,플러스 물량(점),20118.0,0.0,,,
2026-05-01,③ 구독,구독-개월 수(건),26266.0,29136.0,-9.9,,
2026-05-01,③ 구독,낙전 비율(%),11.5,9.74,18.0,전년比 상승 금지,이탈
2026-05-01,④ 금액,결제금액(원),4435446776.0,4711667578.0,-5.9,,
2026-05-01,④ 금액,무상포인트 할인율(%),2.57,2.73,-5.6,전년比 +0.5%p 이내,양호
2026-05-01,④ 금액,"실질 매출(선수금 이연, 원)",4364339878.5,4711667578.0,-7.4,,
2026-05-01,⑨ 진단,배송시각 결측(%),0.17,0.1,63.4,,
2026-05-01,⑤ 품질,세탁 부속품 비중(%),2.97,2.77,7.2,,
2026-05-01,⑤ 품질,세탁 불가(만건당),5.97,1.01,491.1,2건 이하,이탈
2026-05-01,⑤ 품질,전체 리드타임 P90(일),4.0,3.17,26.3,전년比 상승 금지,이탈
2026-05-01,⑤ 품질,출고 기한 준수율(%),97.46,98.79,-1.3,95% 이상,양호
2026-05-01,⑥ 캐파,일 최대 물량(점),29424.0,26653.0,10.4,,
2026-05-01,⑥ 캐파,일평균 물량(점),19231.48,19551.0,-1.6,,
2026-05-01,⑦ 신규,가입 → 7일 내 첫 이용(%),40.04,40.6,-1.4,전년比 하락 금지,이탈
2026-05-01,⑦ 신규,가입자당 7일 주문(건),0.53,0.56,-4.8,전년比 -5% 이내,양호
2026-05-01,⑦ 신규,신규 가입자(명),13795.0,13670.0,0.9,,
2026-06-01,① 핵심,NSM · 세탁 물량(점),480641.0,545085.0,-11.8,전년比 0% 이상,이탈
2026-06-01,① 핵심,고객당 물량(점),8.75,9.48,-7.6,전년比 -3% 이내,이탈
2026-06-01,① 핵심,수거신청 수(건),88638.0,95849.0,-7.5,,
2026-06-01,① 핵심,"활성 고객 수(순, 명)",54903.0,57513.0,-4.5,,
2026-06-01,② 구성,구독 고객 비중(%),36.47,42.16,-13.5,40% 이상,이탈
2026-06-01,② 구성,구독 고객당 물량(점),12.24,12.65,-3.2,,
2026-06-01,② 구성,월 구독 물량(점),226827.0,306673.0,-26.0,,
2026-06-01,② 구성,자유 고객당 물량(점),6.65,7.1,-6.4,,
2026-06-01,② 구성,자유 물량(점),235529.0,238412.0,-1.2,,
2026-06-01,② 구성,플러스 물량(점),18285.0,0.0,,,
2026-06-01,③ 구독,구독-개월 수(건),21773.0,26751.0,-18.6,,
2026-06-01,③ 구독,낙전 비율(%),12.1,10.0,21.0,전년比 상승 금지,이탈
2026-06-01,④ 금액,결제금액(원),3696598877.0,3804853711.0,-2.8,,
2026-06-01,④ 금액,무상포인트 할인율(%),2.55,2.68,-4.8,전년比 +0.5%p 이내,양호
2026-06-01,④ 금액,"실질 매출(선수금 이연, 원)",3555765582.83,3804853711.0,-6.5,,
2026-06-01,⑨ 진단,배송시각 결측(%),0.12,0.08,57.8,,
2026-06-01,⑤ 품질,세탁 부속품 비중(%),1.82,1.79,1.5,,
2026-06-01,⑤ 품질,세탁 불가(만건당),3.98,0.9,342.2,2건 이하,이탈
2026-06-01,⑤ 품질,전체 리드타임 P90(일),3.13,4.08,-23.5,전년比 상승 금지,양호
2026-06-01,⑤ 품질,출고 기한 준수율(%),97.9,98.72,-0.8,95% 이상,양호
2026-06-01,⑥ 캐파,일 최대 물량(점),22946.0,25410.0,-9.7,,
2026-06-01,⑥ 캐파,일평균 물량(점),16021.37,18169.5,-11.8,,
2026-06-01,⑦ 신규,가입 → 7일 내 첫 이용(%),39.0,38.65,0.9,전년比 하락 금지,양호
2026-06-01,⑦ 신규,가입자당 7일 주문(건),0.54,0.54,0.8,전년比 -5% 이내,양호
2026-06-01,⑦ 신규,신규 가입자(명),11871.0,10966.0,8.3,,
2026-07-01,① 핵심,NSM · 세탁 물량(점),475552.0,501549.0,-5.2,전년比 0% 이상,이탈
2026-07-01,① 핵심,고객당 물량(점),8.85,9.44,-6.3,전년比 -3% 이내,이탈
2026-07-01,① 핵심,수거신청 수(건),90717.0,91207.0,-0.5,,
2026-07-01,① 핵심,"활성 고객 수(순, 명)",53738.0,53111.0,1.2,,
2026-07-01,② 구성,구독 고객 비중(%),34.56,42.02,-17.7,40% 이상,이탈
2026-07-01,② 구성,구독 고객당 물량(점),12.63,12.78,-1.2,,
2026-07-01,② 구성,월 구독 물량(점),208269.0,285196.0,-27.0,,
2026-07-01,② 구성,자유 고객당 물량(점),6.79,6.97,-2.5,,
2026-07-01,② 구성,자유 물량(점),241027.0,216353.0,11.4,,
2026-07-01,② 구성,플러스 물량(점),26256.0,0.0,,,
2026-07-01,③ 구독,구독-개월 수(건),21301.0,25590.0,-16.8,,
2026-07-01,③ 구독,낙전 비율(%),13.35,13.7,-2.5,전년比 상승 금지,양호
2026-07-01,④ 금액,결제금액(원),3498833357.0,3450390962.0,1.4,,
2026-07-01,④ 금액,무상포인트 할인율(%),2.33,2.77,-15.7,전년比 +0.5%p 이내,양호
2026-07-01,④ 금액,"실질 매출(선수금 이연, 원)",3377123500.33,3450390962.0,-2.1,,
2026-07-01,⑨ 진단,배송시각 결측(%),4.95,0.05,10894.0,,
2026-07-01,⑤ 품질,세탁 부속품 비중(%),1.32,1.31,0.8,,
2026-07-01,⑤ 품질,세탁 불가(만건당),5.1,1.06,381.1,2건 이하,이탈
2026-07-01,⑤ 품질,전체 리드타임 P90(일),3.92,4.08,-4.1,전년比 상승 금지,양호
2026-07-01,⑤ 품질,출고 기한 준수율(%),97.16,98.84,-1.7,95% 이상,양호
2026-07-01,⑥ 캐파,일 최대 물량(점),21247.0,30311.0,-29.9,,
2026-07-01,⑥ 캐파,일평균 물량(점),15340.39,16179.0,-5.2,,
2026-07-01,⑦ 신규,가입 → 7일 내 첫 이용(%),,,,전년比 하락 금지,
2026-07-01,⑦ 신규,가입자당 7일 주문(건),,,,전년比 -5% 이내,
2026-07-01,⑦ 신규,신규 가입자(명),13997.0,8928.0,56.8,,
2026-01-01,⑤ 품질,QC 부적합률(%),,,,전년比 상승 금지,
2026-01-01,⑤ 품질,스파팅 못지움율(%),,,,전년比 상승 금지,
2026-01-01,⑤ 품질,안심케어 인입률(%),0.4,0.42,-4.8,전년比 상승 금지,양호
2026-01-01,⑧ 공장,QC 부적합률(%) · 군포공장,,,,전년比 상승 금지,
2026-01-01,⑧ 공장,스파팅 못지움율(%) · 군포공장,,,,전년比 상승 금지,
